title;dir;price;Size;rooms;bathrooms;parking
Apartamento en Venta;El Poblado - Medellín;1.135.000.000;225;3;4;3
Oficina en Venta;El Poblado - Medellín;270.000.000;37;;1;1
Apartamento en Venta;El Poblado - Medellín;595.000.000;109;2;3;2
Apartamento en Venta;El Poblado - Medellín;1.350.000.000;257;3;4;3
Apartamento en Venta;El Poblado - Medellín;720.000.000;125;3;3;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;190;4;4;3
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;510.000.000;93;3;2;2
Consultorio en Venta;El Poblado - Medellín;485.000.000;54;;1;2
Apartamento en Venta;El Poblado - Medellín;690.000.000;145;3;3;2
Apartamento en Venta;El Poblado - Medellín;1.160.000.000;199;3;4;2
Apartamento en Venta;El Poblado - Medellín;593.000.000;86;2;2;
Apartamento en Venta;El Poblado - Medellín;230.000.000;51;1;1;1
Apartamento en Venta;El Poblado - Medellín;470.000.000;92;3;2;
Oficina en Venta;El Poblado - Medellín;270.000.000;34;;1;1
Apartamento en Venta;El Poblado - Medellín;1.250.000.000;292;5;6;3
Apartamento en Venta;El Poblado - Medellín;409.000.000;87;3;3;2
Oficina en Venta;El Poblado - Medellín;315.000.000;40;;1;1
Apartamento en Venta;El Poblado - Medellín;700.000.000;106;3;3;2
Apartamento en Venta;El Poblado - Medellín;965.000.000;159;3;5;2
Apartamento en Venta;El Poblado - Medellín;450.000.000;138;3;3;2
Apartamento en Venta;El Poblado - Medellín;370.000.000;70;2;2;1
Apartamento en Venta;El Poblado - Medellín;600.000.000;170;3;4;2
Apartamento en Venta;El Poblado - Medellín;525.000.000;90;2;3;
Apartamento en Venta;El Poblado - Medellín;830.000.000;220;4;4;2
Apartamento en Venta;El Poblado - Medellín;230.000.000;51;1;1;1
Apartaestudio en Venta;El Poblado - Medellín;450.000.000;57;1;2;1
Apartamento en Venta;El Poblado - Medellín;990.000.000;330;5;3;2
Apartamento en Venta;El Poblado - Medellín;546.000.000;94;3;2;2
Oficina en Venta;El Poblado - Medellín;689.000.000;84;;1;2
Apartamento en Venta;El Poblado - Medellín;560.000.000;71;2;2;1
Apartamento en Venta;El Poblado - Medellín;440.000.000;96;3;2;
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.000.000.000;225;3;4;2
Apartamento en Venta;El Poblado - Medellín;2.200.000.000;440;4;7;1
Apartamento en Venta;El Poblado - Medellín;395.000.000;82;2;2;1
Apartamento en Venta;El Poblado - Medellín;1.200.000.000;157;2;3;3
Apartamento en Venta;El Poblado - Medellín;1.300.000.000;251;4;4;2
Apartamento en Venta;El Poblado - Medellín;990.000.000;153;3;3;2
Apartamento en Venta;El Poblado - Medellín;590.000.000;102;3;2;1
Casa en Venta;El Poblado - Medellín;640.000.000;226;3;3;1
Apartamento en Venta;El Poblado - Medellín;850.000.000;240;4;4;2
Apartamento en Venta;El Poblado - Medellín;480.000.000;85;3;2;1
Florencia y Ferrara del Rio;El Poblado - Medellín;911.152.500;128;3;4;2
Apartamento en Venta;El Poblado - Medellín;395.000.000;70;2;2;1
